VEHICLE,DURATION_MINUTE,ID
ԥLT0093,1:57:44,1
ԥLT0170,1:59:50,1
ԥLT0182,1:51:23,1
ԥLT0207,1:40:12,1
ԥLT0317,1:24:33,1
ԥLT0327,1:20:04,1
ԥLT0465,1:59:50,1
ԥLT0496,1:21:25,1
ԥLT0565,1:21:35,1
ԥLT0850,1:59:47,1
ԥLT0972,1:26:05,1
ԥLT1006,1:35:03,1
