vehicleNo,lng,lat,CLUSTER
ԥLT0740,114.045775,33.583280,-1
ԥLT0741,114.029899,33.571117,0
ԥLT0742,114.086121,33.621052,-1
ԥLT0743,114.012549,33.558721,10
ԥLT0744,114.028232,33.575517,0
ԥLT0745,114.042586,33.568117,-1
ԥLT0746,114.012891,33.558636,10
ԥLT0747,113.996010,33.608378,-1
ԥLT0749,114.007126,33.586308,1
ԥLT0750,114.011121,33.554989,10
ԥLT0752,113.993933,33.572116,-1
ԥLT0753,114.030234,33.571200,0
ԥLT0754,114.018400,33.560028,0
ԥLT0755,114.036207,33.570840,0
ԥLT0756,114.014229,33.600049,7
ԥLT0757,114.277870,33.511662,-1
ԥLT0758,114.043829,33.591085,-1
ԥLT0759,113.346233,33.633546,-1
ԥLT0760,114.045605,33.589924,-1
ԥLT0761,114.107137,33.571952,-1
ԥLT0762,114.003644,33.587003,1
ԥLT0763,114.034026,33.576171,0
ԥLT0764,114.031695,33.573864,0
ԥLT0765,114.017776,33.589322,3
ԥLT0767,113.960068,33.575402,6
ԥLT0768,114.059683,33.569347,2
ԥLT0769,114.091185,33.586172,-1
ԥLT0770,114.042575,33.566761,-1
ԥLT0771,114.019370,33.607598,-1
ԥLT0772,113.966772,33.575924,-1
ԥLT0773,114.089870,33.589391,-1
ԥLT0774,114.027970,33.575225,0
ԥLT0775,114.012661,33.619238,-1
ԥLT0776,114.055808,33.585989,4
ԥLT0777,114.018970,33.563825,0
ԥLT0778,114.007105,33.585787,1
ԥLT0779,114.002020,33.582227,1
ԥLT0780,113.958565,33.576035,6
ԥLT0781,114.054538,33.566272,-1
ԥLT0782,113.980450,33.592165,-1
ԥLT0783,114.029734,33.576279,0
ԥLT0784,114.016848,33.598230,7
ԥLT0785,114.026906,33.596711,-1
ԥLT0786,113.985316,33.596051,-1
ԥLT0787,113.773922,33.662728,-1
ԥLT0788,114.009220,33.588448,1
ԥLT0789,114.007545,33.588440,1
ԥLT0790,114.001589,33.560383,-1
ԥLT0791,113.951648,33.787568,-1
ԥLT0792,114.033249,33.595641,-1
ԥLT0793,114.047749,33.574918,-1
ԥLT0794,114.003502,33.588032,1
ԥLT0795,114.004471,33.563518,-1
ԥLT0796,114.020240,33.573719,0
ԥLT0798,114.296806,33.643449,-1
ԥLT0799,113.995522,33.595116,-1
ԥLT0800,114.074056,33.548530,-1
ԥLT0801,114.035717,33.576050,0
ԥLT0802,114.035320,33.584168,-1
ԥLT0804,114.059050,33.533912,-1
ԥLT0805,113.884009,33.434920,-1
ԥLT0806,114.019644,33.567427,0
ԥLT0807,114.279291,33.705928,-1
ԥLT0808,114.018800,33.573808,0
ԥLT0809,113.985146,33.593445,-1
ԥLT0810,114.031336,33.581449,0
ԥLT0811,114.072586,33.566641,-1
ԥLT0812,114.015238,33.595472,7
ԥLT0813,114.031840,33.586791,5
ԥLT0814,114.040097,33.578125,13
ԥLT0815,114.031546,33.594735,-1
ԥLT0816,114.036902,33.573295,0
ԥLT0817,114.025540,33.543240,9
ԥLT0818,114.020622,33.545551,9
ԥLT0819,114.292500,33.701178,-1
ԥLT0820,113.988057,33.575373,-1
ԥLT0821,114.457272,33.602163,-1
ԥLT0822,114.018183,33.586732,3
ԥLT0823,114.085003,33.652557,-1
ԥLT0824,114.052840,33.581178,-1
ԥLT0825,114.063591,33.529052,-1
ԥLT0826,114.092389,33.584396,-1
ԥLT0827,114.020781,33.564299,0
ԥLT0828,114.029410,33.590733,5
ԥLT0829,114.009729,33.597825,7
ԥLT0831,113.986455,33.606056,-1
ԥLT0832,114.031815,33.586950,5
ԥLT0833,114.008281,33.579166,-1
ԥLT0834,113.987253,33.555829,-1
ԥLT0835,114.034341,33.576442,0
ԥLT0836,114.035914,33.570705,0
ԥLT0837,114.047394,33.568514,12
ԥLT0838,114.011139,33.589278,1
ԥLT0839,114.018094,33.596948,7
ԥLT0842,114.050586,33.601452,-1
ԥLT0843,114.037028,33.579762,-1
ԥLT0844,114.035472,33.570422,0
ԥLT0845,114.017494,33.556281,0
ԥLT0846,113.998278,33.572204,-1
ԥLT0847,114.019870,33.570434,0
ԥLT0848,113.979550,33.498274,-1
ԥLT0849,114.062400,33.569524,2
ԥLT0850,113.982926,33.572870,-1
ԥLT0851,114.021687,33.587963,3
ԥLT0852,114.053462,33.596629,-1
ԥLT0853,114.007447,33.575510,-1
ԥLT0854,114.051533,33.569442,12
ԥLT0855,113.992606,33.553281,-1
ԥLT0856,114.026541,33.593612,5
ԥLT0857,114.010514,33.570913,0
ԥLT0858,113.995282,33.562839,11
ԥLT0859,114.012395,33.560140,-1
ԥLT0860,114.024472,33.568938,0
ԥLT0861,114.041829,33.566993,-1
ԥLT0862,114.004550,33.593629,1
ԥLT0863,113.997331,33.567056,-1
ԥLT0864,113.994925,33.559807,11
ԥLT0865,113.988960,33.604609,-1
ԥLT0866,114.004236,33.588814,1
ԥLT0867,114.042213,33.553242,-1
ԥLT0868,114.091355,33.586450,-1
ԥLT0869,114.055411,33.583737,4
ԥLT0870,114.092468,33.529177,-1
ԥLT0871,114.064282,33.568964,2
ԥLT0872,114.026618,33.562723,-1
ԥLT0873,114.017476,33.561836,0
ԥLT0874,113.993152,33.603069,-1
ԥLT0876,114.015979,33.583747,-1
ԥLT0877,114.048361,33.570231,12
ԥLT0878,114.030649,33.572862,0
ԥLT0879,114.036716,33.596959,-1
ԥLT0880,114.003092,33.592359,1
ԥLT0881,114.009122,33.587878,1
ԥLT0882,114.062675,33.569402,2
ԥLT0883,114.005884,33.605472,-1
ԥLT0884,113.621376,33.191638,-1
ԥLT0885,113.989224,33.575948,-1
ԥLT0886,114.042342,33.570109,-1
ԥLT0887,114.025990,33.593897,-1
ԥLT0888,113.998873,33.571924,-1
ԥLT0889,114.110322,33.588334,-1
ԥLT0890,114.008573,33.384246,-1
ԥLT0891,114.033013,33.574992,0
ԥLT0892,113.994264,33.561561,11
ԥLT0893,114.055600,33.558658,-1
ԥLT0894,113.959820,33.573893,6
ԥLT0895,114.054001,33.503997,-1
ԥLT0896,113.997296,33.588769,1
ԥLT0897,114.024939,33.571537,0
ԥLT0898,114.051420,33.576875,-1
ԥLT0899,114.018839,33.589291,3
ԥLT0900,114.005719,33.587770,1
ԥLT0902,114.026634,33.591446,5
ԥLT0903,113.965392,33.580162,-1
ԥLT0904,114.014789,33.586432,1
ԥLT0905,114.031830,33.586678,5
ԥLT0906,114.090810,33.584422,-1
ԥLT0907,113.959892,33.574171,6
ԥLT0908,114.020485,33.595114,-1
ԥLT0910,114.001549,33.553359,-1
ԥLT0912,113.982216,33.600647,-1
ԥLT0913,114.027265,33.569526,0
ԥLT0914,114.058276,33.580342,-1
ԥLT0915,114.036733,33.572885,0
ԥLT0916,114.012785,33.557596,10
ԥLT0917,113.996386,33.553971,-1
ԥLT0918,113.999605,33.607641,-1
ԥLT0919,114.032606,33.575053,0
ԥLT0921,114.043764,33.596669,-1
ԥLT0922,113.997969,33.587997,1
ԥLT0923,113.986694,33.607094,-1
ԥLT0924,114.030869,33.554581,-1
ԥLT0925,114.003997,33.586410,1
ԥLT0926,113.999782,33.600076,8
ԥLT0927,114.007460,33.591629,1
ԥLT0928,114.025591,33.542696,9
ԥLT0929,114.022718,33.568759,0
ԥLT0930,114.037332,33.574220,0
ԥLT0931,114.012650,33.590636,1
ԥLT0932,114.037158,33.578260,0
ԥLT0933,114.031686,33.558109,-1
ԥLT0934,114.042320,33.561503,14
ԥLT0935,114.003662,33.554743,-1
ԥLT0936,114.036324,33.572420,0
ԥLT0937,113.985750,33.587539,-1
ԥLT0938,114.011496,33.600967,7
ԥLT0939,114.014737,33.566140,0
ԥLT0940,113.992580,33.608433,-1
ԥLT0941,114.148140,33.513357,-1
ԥLT0942,114.010150,33.546093,-1
ԥLT0943,114.018571,33.555965,0
ԥLT0944,114.036719,33.572773,0
ԥLT0945,113.959848,33.573672,6
ԥLT0946,114.036510,33.577011,0
ԥLT0947,113.991730,33.611089,-1
ԥLT0948,114.074445,33.567906,-1
ԥLT0949,114.026548,33.571131,0
ԥLT0951,114.029199,33.582758,-1
ԥLT0952,114.063998,33.561047,15
ԥLT0953,114.032595,33.574687,0
ԥLT0954,114.029113,33.571138,0
ԥLT0955,113.997233,33.592546,-1
ԥLT0956,113.996267,33.561209,11
ԥLT0957,113.992412,33.545232,-1
ԥLT0958,114.055065,33.576793,-1
ԥLT0959,114.060468,33.584759,-1
ԥLT0960,114.041087,33.579823,13
ԥLT0961,113.984804,33.567885,-1
ԥLT0963,114.057263,33.569682,2
ԥLT0964,114.014439,33.569740,0
ԥLT0965,113.992488,33.555888,-1
ԥLT0966,114.055047,33.584683,4
ԥLT0967,114.012030,33.586259,1
ԥLT0968,114.026488,33.570348,0
ԥLT0969,114.048798,33.582716,-1
ԥLT0970,114.061415,33.563526,-1
ԥLT0971,114.065311,33.585068,-1
ԥLT0972,114.079810,33.589420,-1
ԥLT0973,114.250844,33.596698,-1
ԥLT0974,114.013350,33.587928,1
ԥLT0975,114.088100,33.610964,-1
ԥLT0976,114.074395,33.559959,-1
ԥLT0979,114.036674,33.572774,0
ԥLT0980,113.995462,33.558359,11
ԥLT0981,114.100648,33.656240,-1
ԥLT0983,114.149104,33.583336,-1
ԥLT0984,113.969822,33.590342,-1
ԥLT0985,113.984611,33.594372,-1
ԥLT0986,114.020760,33.574641,0
ԥLT0988,113.962889,33.577193,6
ԥLT0989,114.002697,33.586112,1
ԥLT0990,114.085490,33.590280,-1
ԥLT0991,114.040887,33.562444,14
ԥLT0992,114.036024,33.586983,5
ԥLT0993,114.032406,33.567440,0
ԥLT0994,114.032203,33.564467,-1
ԥLT0995,113.983360,33.603492,-1
ԥLT0996,113.971121,33.571873,-1
ԥLT0997,114.004850,33.596817,-1
ԥLT0998,113.509725,34.129654,-1
ԥLT0999,114.019669,33.584424,-1
ԥLT1000,114.032698,33.574283,0
ԥLT1001,114.056059,33.585120,4
ԥLT1002,114.055023,33.573327,-1
ԥLT1003,113.995944,33.583551,-1
ԥLT1004,114.061968,33.566514,2
ԥLT1005,114.018099,33.569534,0
ԥLT1006,114.026478,33.568753,0
ԥLT1007,113.993260,33.593988,-1
ԥLT1008,114.007669,33.563026,-1
ԥLT1009,114.022394,33.585385,-1
ԥLT1010,114.033667,33.575818,0
ԥLT1011,114.029681,33.562018,-1
ԥLT1013,114.043396,33.578254,13
ԥLT1014,114.031690,33.588405,5
ԥLT1016,114.067261,33.566166,2
ԥLT1017,114.059555,33.568773,2
ԥLT1018,114.017891,33.549547,-1
ԥLT1019,114.031145,33.575485,0
ԥLT1020,114.047190,33.567146,-1
ԥLT1021,114.038793,33.567692,0
ԥLT1022,114.018105,33.554810,0
ԥLT1023,114.019970,33.608835,-1
ԥLT1024,113.960370,33.574715,6
ԥLT1025,114.028895,33.570975,0
ԥLT1026,114.073340,33.589556,-1
ԥLT1027,114.020608,33.546660,-1
ԥLT1028,113.969760,33.389435,-1
ԥLT1029,114.020266,33.553499,0
ԥLT1030,114.042784,33.575240,13
ԥLT1031,114.012485,33.593271,1
ԥLT1032,114.002555,33.587356,1
ԥLT1033,114.022548,33.596660,-1
ԥLT1034,114.028730,33.577514,0
ԥLT1035,113.990328,33.586172,-1
ԥLT1036,114.013114,33.592686,1
ԥLT1037,114.114324,33.663102,-1
ԥLT1038,114.032995,33.574236,0
ԥLT1039,114.005658,33.590679,1
ԥLT1040,114.068017,33.632759,-1
ԥLT1042,113.959840,33.574085,6
ԥLT1043,114.089950,33.589409,-1
ԥLT1044,114.052760,33.569963,12
ԥLT1045,114.007299,33.593609,1
ԥLT1047,114.054471,33.575805,-1
ԥLT1048,114.017128,33.597671,7
ԥLT1049,113.998163,33.569962,-1
ԥLT1050,114.029848,33.571219,0
ԥLT1051,114.022329,33.566465,0
ԥLT1052,113.959918,33.574533,6
ԥLT1054,113.984784,33.630131,-1
ԥLT1055,114.010223,33.573370,-1
ԥLT1056,114.085700,33.652852,-1
ԥLT1057,114.018430,33.558006,0
ԥLT1058,113.996922,33.560469,11
ԥLT1059,113.939927,33.603989,-1
ԥLT1060,114.111896,33.918244,-1
ԥLT1061,114.038668,33.565733,-1
ԥLT1062,113.959866,33.573986,6
ԥLT1063,114.032473,33.574435,0
ԥLT1064,113.986647,33.588725,-1
ԥLT1065,114.000880,33.592956,1
ԥLT1066,114.030515,33.590877,5
ԥLT1067,113.966098,33.562331,-1
ԥLT1068,114.003850,33.583456,1
ԥLT1069,113.966738,33.605228,-1
ԥLT1070,114.066797,33.561894,15
ԥLT1071,114.076874,33.555516,-1
ԥLT1072,114.035994,33.573409,0
ԥLT1073,114.032100,33.571837,0
ԥLT1074,113.999304,33.603635,-1
ԥLT1075,114.046440,33.589310,-1
ԥLT1076,114.017194,33.541234,-1
ԥLT1077,114.027249,33.594257,-1
ԥLT1078,114.033943,33.571052,0
ԥLT1079,114.053523,33.576353,-1
ԥLT1080,113.986853,33.589502,-1
ԥLT1081,113.959963,33.575167,6
ԥLT1082,114.050847,33.595096,-1
ԥLT1083,114.031420,33.570999,0
ԥLT1084,114.009868,33.552388,10
ԥLT1085,114.064153,33.561125,15
ԥLT1086,114.608653,33.600648,-1
ԥLT1087,113.983739,33.602952,-1
ԥLT1088,114.009523,33.552602,10
ԥLT1089,114.035019,33.584952,5
ԥLT1090,114.029453,33.571206,0
ԥLT1092,113.998853,33.562810,11
ԥLT1093,113.959969,33.575019,6
ԥLT1094,114.043457,33.542487,-1
ԥLT1095,113.959817,33.573457,6
ԥLT1096,114.019648,33.560805,0
ԥLT1097,113.959743,33.575351,6
ԥLT1098,113.992819,33.597166,-1
ԥLT1099,114.003480,33.587185,1
ԥLT1100,114.008405,33.595481,1
