vehicleNo,lng,lat,CLUSTER
ԥLT0171,114.059940,33.550153,-1
ԥLT0172,113.621445,33.191627,-1
ԥLT0173,114.016466,33.553626,0
ԥLT0174,114.024402,33.546570,9
ԥLT0175,114.659015,33.621519,-1
ԥLT0176,114.051154,33.569723,12
ԥLT0177,114.025560,33.543336,9
ԥLT0178,114.005844,33.598743,-1
ԥLT0179,114.050340,33.572525,12
ԥLT0180,114.053264,33.585799,4
ԥLT0181,114.020794,33.538167,-1
ԥLT0182,114.036763,33.570291,0
ԥLT0183,114.021744,33.573609,0
ԥLT0184,114.012262,33.603625,7
ԥLT0185,114.013462,33.596664,7
ԥLT0186,114.041821,33.578309,13
ԥLT0187,114.029068,33.588984,5
ԥLT0188,114.075226,33.563520,-1
ԥLT0189,114.002604,33.587170,1
ԥLT0190,114.057390,33.589752,-1
ԥLT0191,114.036263,33.571306,0
ԥLT0192,114.053126,33.584973,4
ԥLT0193,113.960003,33.575290,6
ԥLT0195,114.013871,33.551568,-1
ԥLT0196,113.983141,33.576262,-1
ԥLT0197,114.033028,33.582082,0
ԥLT0198,114.009680,33.593945,1
ԥLT0199,114.002876,33.597229,-1
ԥLT0200,114.003761,33.574871,-1
ԥLT0201,114.050485,33.562886,-1
ԥLT0202,114.106334,33.660121,-1
ԥLT0203,114.063449,33.569848,2
ԥLT0205,114.032830,33.572832,0
ԥLT0207,114.036784,33.573102,0
ԥLT0208,114.001767,33.590845,1
ԥLT0209,114.010062,33.595448,1
ԥLT0210,114.017889,33.560231,0
ԥLT0211,114.036727,33.572839,0
ԥLT0212,114.033794,33.569181,0
ԥLT0213,114.008548,33.570443,-1
ԥLT0214,114.046197,33.585077,-1
ԥLT0215,114.024442,33.546554,9
ԥLT0216,113.985128,33.581035,-1
ԥLT0217,113.999572,33.600345,8
ԥLT0218,114.022925,33.544131,9
ԥLT0219,114.023712,33.596909,-1
ԥLT0220,114.036084,33.572611,0
ԥLT0221,114.028238,33.565169,-1
ԥLT0222,114.056042,33.585144,4
ԥLT0223,114.067995,33.586872,-1
ԥLT0224,114.030469,33.585724,5
ԥLT0225,114.071234,33.635561,-1
ԥLT0226,114.046690,33.589170,-1
ԥLT0227,114.036034,33.572379,0
ԥLT0228,114.054339,33.580524,4
ԥLT0229,114.024274,33.570126,0
ԥLT0230,114.018906,33.555945,0
ԥLT0231,114.038200,33.592606,-1
ԥLT0232,114.003903,33.554785,-1
ԥLT0233,113.989030,33.588486,-1
ԥLT0234,114.002935,33.586932,1
ԥLT0235,114.011749,33.600725,7
ԥLT0236,114.002240,33.629657,-1
ԥLT0237,114.001989,33.570609,-1
ԥLT0238,113.972176,33.567932,-1
ԥLT0239,114.043015,33.574885,13
ԥLT0240,113.960389,33.575594,6
ԥLT0241,114.029338,33.571670,0
ԥLT0242,113.984534,33.567354,-1
ԥLT0243,114.027685,33.590558,5
ԥLT0244,114.041950,33.576974,13
ԥLT0245,114.069336,33.581900,-1
ԥLT0246,114.018288,33.550210,-1
ԥLT0248,114.033893,33.570753,0
ԥLT0249,114.078430,33.593334,-1
ԥLT0250,113.959865,33.573660,6
ԥLT0251,113.963051,33.573536,6
ԥLT0252,113.994815,33.598854,-1
ԥLT0253,114.017931,33.548145,-1
ԥLT0254,113.993701,33.546349,-1
ԥLT0255,113.991721,33.549873,-1
ԥLT0256,114.031294,33.585551,5
ԥLT0257,113.997266,33.601627,8
ԥLT0258,114.014684,33.573232,0
ԥLT0259,114.027608,33.566147,-1
ԥLT0260,114.030183,33.586180,5
ԥLT0261,114.014867,33.592600,1
ԥLT0262,114.010280,33.555042,10
ԥLT0263,114.008353,33.588418,1
ԥLT0264,113.989787,33.595297,-1
ԥLT0265,114.093704,33.589560,-1
ԥLT0266,113.997482,33.531121,-1
ԥLT0267,114.087086,33.584579,-1
ԥLT0268,114.000541,33.588844,1
ԥLT0269,113.995995,33.559539,11
ԥLT0270,114.024640,33.551528,-1
ԥLT0271,114.018246,33.581023,-1
ԥLT0272,114.028656,33.571121,0
ԥLT0273,113.994000,33.553166,-1
ԥLT0274,114.015973,33.569777,0
ԥLT0275,114.000777,33.072956,-1
ԥLT0276,114.013853,33.595376,7
ԥLT0277,113.995152,33.554932,-1
ԥLT0278,114.063545,33.561574,15
ԥLT0280,114.055155,33.584767,4
ԥLT0281,114.024896,33.550037,-1
ԥLT0283,114.008907,33.592660,1
ԥLT0284,114.019390,33.558154,0
ԥLT0286,113.980066,33.595358,-1
ԥLT0287,114.003393,33.593665,1
ԥLT0288,114.059676,33.562825,-1
ԥLT0289,114.002034,33.586210,1
ԥLT0290,114.020690,33.574430,0
ԥLT0291,114.017976,33.569921,0
ԥLT0292,114.112143,33.572429,-1
ԥLT0293,114.011175,33.559444,10
ԥLT0294,114.083337,33.572762,-1
ԥLT0295,114.001048,33.587169,1
ԥLT0296,114.012855,33.569351,0
ԥLT0297,114.012534,33.585842,1
ԥLT0298,114.035448,33.576311,0
ԥLT0299,114.012891,33.572681,0
ԥLT0300,113.989032,33.585848,-1
ԥLT0301,114.032227,33.590301,5
ԥLT0302,114.032505,33.576767,0
ԥLT0303,114.042326,33.558052,-1
ԥLT0305,114.023643,33.575415,0
ԥLT0306,114.021318,33.586478,-1
ԥLT0307,114.047331,33.550103,-1
ԥLT0308,114.019781,33.544637,9
ԥLT0309,113.959900,33.574104,6
ԥLT0310,113.959924,33.574443,6
ԥLT0311,114.014475,33.589368,1
ԥLT0312,114.009956,33.570297,0
ԥLT0313,114.041656,33.572431,0
ԥLT0314,114.063967,33.573338,-1
ԥLT0315,114.125750,33.593628,-1
ԥLT0316,114.037530,33.569890,0
ԥLT0318,114.002376,33.556415,-1
ԥLT0320,113.996101,33.586427,-1
ԥLT0321,114.114855,33.583889,-1
ԥLT0322,114.293603,33.776229,-1
ԥLT0323,114.032096,33.590132,5
ԥLT0324,114.061428,33.567589,2
ԥLT0325,114.035008,33.571924,0
ԥLT0326,114.052768,33.578308,-1
ԥLT0327,114.020818,33.570391,0
ԥLT0328,114.044852,33.571790,-1
ԥLT0330,114.012041,33.597588,7
ԥLT0331,114.039761,33.564627,14
ԥLT0332,113.994157,33.574598,-1
ԥLT0333,114.002597,33.553305,-1
ԥLT0334,114.052892,33.584876,4
ԥLT0335,113.993196,33.610280,-1
ԥLT0336,113.959904,33.574225,6
ԥLT0337,114.013340,33.553899,10
ԥLT0339,114.025829,33.611875,-1
ԥLT0340,114.023546,33.568387,0
ԥLT0341,114.021260,33.552723,0
ԥLT0342,114.013480,33.568657,0
ԥLT0343,113.975800,33.630239,-1
ԥLT0344,114.042453,33.559539,14
ԥLT0345,114.030644,33.548575,-1
ԥLT0346,114.002523,33.556848,-1
ԥLT0347,114.004581,33.577146,-1
ԥLT0348,114.029332,33.571037,0
ԥLT0349,114.029001,33.571740,0
ԥLT0350,114.034478,33.572858,0
ԥLT0352,113.959951,33.574377,6
ԥLT0353,114.040747,33.578372,13
ԥLT0354,114.013097,33.574846,-1
ԥLT0355,113.998650,33.590687,1
ԥLT0356,114.007574,33.561272,-1
ԥLT0357,114.008487,33.588431,1
ԥLT0358,114.059044,33.569153,2
ԥLT0359,113.995032,33.605375,-1
ԥLT0360,114.055238,33.583738,4
ԥLT0361,113.978363,33.573182,-1
ԥLT0364,114.009145,33.553018,10
ԥLT0365,114.020546,33.570261,0
ԥLT0367,113.985950,33.559352,-1
ԥLT0369,113.996103,33.154727,-1
ԥLT0370,113.999731,33.591906,1
ԥLT0371,113.986029,33.606770,-1
ԥLT0372,114.044442,33.581484,-1
ԥLT0373,114.040500,33.557845,-1
ԥLT0374,114.048150,33.561210,-1
ԥLT0375,114.078133,33.584355,-1
ԥLT0376,114.025630,33.591026,5
ԥLT0379,114.030147,33.541414,-1
ԥLT0380,113.621461,33.191626,-1
ԥLT0381,113.997810,33.561480,11
ԥLT0382,114.020561,33.573250,0
ԥLT0383,114.042501,33.552646,-1
ԥLT0384,113.999437,33.602321,8
ԥLT0385,114.004356,33.578000,-1
ԥLT0386,114.080113,33.566531,-1
ԥLT0387,114.028080,33.564404,-1
ԥLT0388,114.010267,33.557185,10
ԥLT0389,113.998441,33.611078,-1
ԥLT0390,114.034508,33.573091,0
ԥLT0391,114.006850,33.560173,-1
ԥLT0392,114.020041,33.567151,0
ԥLT0393,113.996754,33.609657,-1
ԥLT0394,114.056786,33.580050,-1
ԥLT0395,114.040810,33.561334,14
ԥLT0396,114.012487,33.560657,-1
ԥLT0397,114.023081,33.589314,-1
ԥLT0398,114.024191,33.566344,0
ԥLT0399,114.021651,33.565659,0
ԥLT0401,114.014742,33.570834,0
ԥLT0402,114.042431,33.560335,14
ԥLT0403,114.003392,33.606884,-1
ԥLT0404,113.980524,33.570929,-1
ԥLT0405,114.077094,33.558089,-1
ԥLT0406,113.903726,33.583767,-1
ԥLT0407,114.008335,33.553686,10
ԥLT0408,114.030217,33.571205,0
ԥLT0409,114.015129,33.552567,-1
ԥLT0411,114.073513,33.560546,-1
ԥLT0412,114.004661,33.596815,-1
ԥLT0413,114.036587,33.570360,0
ԥLT0414,114.008258,33.562996,-1
ԥLT0415,114.031442,33.572275,0
ԥLT0416,114.018996,33.558944,0
ԥLT0417,114.008151,33.576816,-1
ԥLT0418,113.961007,33.574886,6
ԥLT0419,114.025505,33.589556,5
ԥLT0420,114.116690,33.603592,-1
ԥLT0422,114.028939,33.573024,0
ԥLT0423,114.029883,33.590910,5
ԥLT0424,114.008180,33.587865,1
ԥLT0425,114.088303,33.611730,-1
ԥLT0426,113.959120,33.578034,6
ԥLT0427,114.020790,33.551100,-1
ԥLT0428,114.020853,33.569942,0
ԥLT0429,113.991673,33.569621,-1
ԥLT0430,113.968014,33.570859,-1
ԥLT0431,114.013915,33.579712,-1
ԥLT0433,114.094791,33.585300,-1
ԥLT0434,114.024699,33.553357,-1
ԥLT0435,114.019041,33.562028,0
ԥLT0436,114.082368,33.573793,-1
ԥLT0437,114.049130,33.566268,-1
ԥLT0438,113.981718,33.596344,-1
ԥLT0439,114.004249,33.586216,1
ԥLT0440,114.064392,33.577534,-1
ԥLT0441,114.059844,33.590678,-1
ԥLT0442,114.010008,33.554884,10
ԥLT0443,114.112735,33.580455,-1
ԥLT0444,114.017491,33.571100,0
ԥLT0445,113.990863,33.585880,-1
ԥLT0446,114.063289,33.568223,2
ԥLT0447,114.001258,33.554067,-1
ԥLT0448,114.054486,33.575896,-1
ԥLT0449,114.101787,33.578416,-1
ԥLT0450,114.007532,33.596712,1
ԥLT0452,113.996122,33.588518,-1
ԥLT0453,114.027986,33.591580,5
ԥLT0454,114.031816,33.574916,0
ԥLT0455,113.988028,33.557355,-1
ԥLT0456,114.035751,33.605113,-1
ԥLT0457,114.051355,33.585285,4
ԥLT0458,114.035993,33.573088,0
ԥLT0459,114.006087,33.589623,1
ԥLT0460,114.007834,33.589911,1
ԥLT0461,113.995516,33.574709,-1
ԥLT0462,114.010749,33.599763,7
ԥLT0463,114.043067,33.576073,13
ԥLT0464,114.039173,33.593710,-1
ԥLT0465,114.064002,33.561339,15
ԥLT0466,114.020654,33.573993,0
ԥLT0467,114.019613,33.546306,-1
ԥLT0468,114.011701,33.600610,7
ԥLT0469,113.987074,33.566048,-1
ԥLT0470,114.024240,33.569828,0
ԥLT0472,114.033359,33.586854,5
ԥLT0473,114.030158,33.541417,-1
ԥLT0474,113.990068,33.558927,-1
ԥLT0475,114.064161,33.568615,2
ԥLT0476,114.016846,33.557278,0
ԥLT0477,113.992981,33.576915,-1
ԥLT0478,114.000723,33.589664,1
ԥLT0479,114.018347,33.553682,0
ԥLT0480,114.042362,33.581549,-1
ԥLT0481,113.968379,33.571802,-1
ԥLT0482,114.002647,33.561902,-1
ԥLT0483,114.028449,33.570026,0
ԥLT0484,114.016797,33.545673,-1
ԥLT0485,114.024436,33.546599,-1
ԥLT0486,114.002333,33.604740,-1
ԥLT0487,113.992222,33.558681,-1
ԥLT0488,113.961981,33.575594,6
ԥLT0489,114.007790,33.611091,-1
ԥLT0490,114.036290,33.586771,5
ԥLT0491,114.062519,33.569344,2
ԥLT0492,114.023423,33.592934,-1
ԥLT0493,113.985368,33.574834,-1
ԥLT0494,114.012668,33.599166,7
ԥLT0496,114.036682,33.572975,0
ԥLT0497,114.067708,33.563176,15
ԥLT0498,114.021176,33.558083,0
ԥLT0499,114.061198,33.526430,-1
ԥLT0500,114.017815,33.556250,0
ԥLT0501,114.075804,33.586301,-1
ԥLT0502,114.073076,33.568703,-1
ԥLT0503,114.029715,33.571223,0
ԥLT0504,113.973750,33.588493,-1
ԥLT0505,114.022897,33.577152,-1
ԥLT0506,115.116690,33.360314,-1
ԥLT0507,114.047512,33.566992,-1
ԥLT0508,114.033533,33.581134,0
ԥLT0509,114.031954,33.576346,0
ԥLT0511,113.996560,33.558911,11
ԥLT0512,114.013490,33.586232,1
ԥLT0513,114.076338,33.560730,-1
ԥLT0514,114.010440,33.604816,-1
ԥLT0515,113.959919,33.574644,6
ԥLT0516,114.055338,33.564403,-1
ԥLT0517,114.073233,33.591559,-1
ԥLT0518,114.032765,33.573856,0
ԥLT0519,113.971691,33.544361,-1
ԥLT0520,114.002115,33.582531,1
ԥLT0522,114.089527,33.498156,-1
ԥLT0523,114.062281,33.569432,2
ԥLT0525,113.992948,33.585961,-1
ԥLT0526,114.027706,33.571033,0
ԥLT0527,113.983720,33.603035,-1
